Entity,Super
Q233603,['Q5']
Q352200,['Q5']
Q3305213,['Q4502142']
Q594890,"['Q2003221', 'Q474717']"
Q604419,['Q5']
Q1335445,"['Q193622', 'Q2003221']"
Q229854,['Q5']
Q186256,['Q5']
Q1796163,['Q369359']
Q1683024,['Q1391128']
Q233196,['Q5']
Q233587,['Q5']
Q343621,['Q5']
Q751275,"['Q193622', 'Q5124642']"
Q31931611,['Q31931265']
Q462892,['Q5']
Q2630473,['Q5']
Q4064508,"['Q2998467', 'Q3317779']"
Q444290,['Q5']
Q8436,"['Q4430243', 'Q16334295', 'Q874405', 'Q1313923']"
Q116,"['Q4164871', 'Q355567', 'Q2304859', 'Q12737077', 'Q48352']"
Q3010,"['Q7569', 'Q84048850']"
Q8441,"['Q80994', 'Q84048850']"
Q7569,"['Q5932254', 'Q851990', 'Q1516282', 'Q5']"
Q467,"['Q80994', 'Q84048852']"
Q3031,"['Q7569', 'Q84048852']"
Q5432,['Q5']
Q63070,['Q20643955']
Q14130,['Q327496']
Q107293,['Q3629395']
Q234668,['Q15618781']
Q336989,"['Q12046531', 'Q190903', 'Q66429760']"
Q23413,['Q57821']
Q726,"['Q165115', 'Q57814795', 'Q55983715']"
Q1313,"['Q15275719', 'Q24384']"
Q3537778,"['Q2305786', 'Q57814795', 'Q55983715']"
Q201097,['Q987767']
Q942467,"['Q2634521', 'Q20127274', 'Q20643955']"
Q345,['Q20643955']
Q81103,['Q1246258']
Q2207370,['Q14745']
Q80151,['Q14952']
Q1075310,"['Q16103215', 'Q8023902', 'Q35872']"
Q131559,['Q50414774']
Q3579211,"['Q173603', 'Q11798718']"
Q181469,"['Q2235308', 'Q170483']"
Q2167774,['Q178561']
Q50414774,"['Q1333024', 'Q14524031', 'Q20793164']"
Q14660,"['Q806880', 'Q100792256', 'Q17335294']"
Q15026,"['Q2207370', 'Q14745']"
Q11446,"['Q1229765', 'Q2235308', 'Q16391167']"
Q12796,"['Q104385260', 'Q15142889']"
Q44475,"['Q649107', 'Q768186']"
Q12791,"['Q15407649', 'Q9180322']"
Q1219811,[]
Q166502,"['Q1411242', 'Q60227']"
Q22808839,['Q467']
Q160091,"['Q107425', 'Q271669']"
Q167633,['Q22676']
Q273761,['Q327496']
Q505619,['Q781413']
Q733786,"['Q102250838', 'Q2566598', 'Q63187345']"
Q774306,"['Q189533', 'Q3332438', 'Q66811410']"
Q643352,"['Q756', 'Q55983715']"
Q1986098,['Q8514257']
Q595942,['Q1900281']
Q209542,['Q16334298']
Q243778,"['Q811979', 'Q1183543']"
Q200334,['Q12518']
Q7777019,"['Q1006733', 'Q52105']"
Q148993,['Q10884']
Q6933946,['Q1048314']
Q472953,"['Q15636229', 'Q600236']"
Q207172,"['Q1074814', 'Q1760958', 'Q44575957']"
Q7930989,"['Q486972', 'Q3257686', 'Q56061']"
Q1144593,['Q8514257']
Q506,['Q24060707']
Q4421,"['Q2083910', 'Q101998', 'Q184806', 'Q37813']"
Q29957,['Q834028']
Q571,"['Q732577', 'Q2342494', 'Q49848']"
Q14748,"['Q1357761', 'Q14745']"
Q527,['Q107']
Q175185,"['Q82794', 'Q2221906']"
Q134388,"['Q11688446', 'Q7805266', 'Q24284226']"
Q6000508,['Q7249602']
Q34726,['Q9134']
Q7873,"['Q289472', 'Q103907369', 'Q629103', 'Q1058795']"
Q44204,['Q45713']
Q4,"['Q2956046', 'Q2996394', 'Q3505845']"
Q23852,"['Q170494', 'Q104025222', 'Q66599465']"
Q44595,"['Q14819856', 'Q170430']"
Q170379,"['Q16326794', 'Q22988604']"
Q504076,['Q22988604']
Q122248,['Q23015925']
Q650711,"['Q180684', 'Q1931388']"
Q3196,['Q1293220']
Q200539,['Q11460']
Q43115,"['Q216353', 'Q4120621', 'Q15978876', 'Q17573152']"
Q96952903,['Q987767']
Q201251,"['Q3917160', 'Q16521', 'Q55983715']"
Q157952,['Q16521']
Q1107656,"['Q107425', 'Q386724', 'Q628858', 'Q1165944', 'Q17350442', 'Q21950738', 'Q22652', 'Q35145743']"
Q4489450,"['Q24334893', 'Q86901', 'Q23847174']"
Q862089,['Q16521']
Q170984,"['Q80071', 'Q28972621', 'Q5064153']"
Q14458220,"['Q147545', 'Q16128920', 'Q25403900', 'Q4692249', 'Q2095']"
Q3352472,[]
Q207766,['Q1496967']
Q83310,['Q16521']
Q8021345,['Q55983715']
Q2423874,"['Q12497663', 'Q29154515']"
Q9394,"['Q25900', 'Q57814795', 'Q55983715']"
Q140,"['Q6667323', 'Q16521']"
Q23397,"['Q271669', 'Q337567', 'Q3391202']"
Q190,"['Q178885', 'Q215627', 'Q635155', 'Q23847174']"
Q5113,['Q16521']
Q165,"['Q2221906', 'Q337567', 'Q2507626']"
Q8063,['Q3405827']
Q19014,"['Q1107656', 'Q98088085', 'Q24334893']"
Q2102,"['Q10811', 'Q55983715']"
Q7246,"['Q2239243', 'Q15707583', 'Q24296329']"
Q58701,"['Q1406161', 'Q22813672']"
Q10884,"['Q157957', 'Q757163', 'Q55983715']"
Q5,"['Q215627', 'Q154954', 'Q164509', 'Q55983715']"
Q7378,"['Q7377', 'Q55983715']"
Q1845,['Q47461344']
Q196,"['Q3314483', 'Q14712']"
Q12507,"['Q875399', 'Q306610', 'Q484298', 'Q211548', 'Q4751134', 'Q22808481', 'Q208395', 'Q30092280']"
